anime,watched_eps,total_eps
Nichijou,1,1
Luckyâ˜†Star,1,1
Danshi Koukousei no Nichijou,1,1
Acchi Kocchi (TV),1,1
Fullmetal Alchemist: Brotherhood,1,1
One Piece,1,1
Boku no Hero Academia,1,1
Dragon Ball Z,1,1
Haikyuu!!,1,1
Fairy Tail,1,1
Shingeki no Kyojin,1,1
Hunter x Hunter (2011),1,1
Naruto,1,1
Naruto: Shippuuden,1,1
Nanatsu no Taizai,1,1
Katekyo Hitman Reborn!,1,1
Tengen Toppa Gurren Lagann,1,1
Working!!,1,1
Tanaka-kun wa Itsumo Kedaruge,1,1
Soul Eater,1,1
Fullmetal Alchemist,1,1
Ao no Exorcist,1,1
Sword Art Online,1,1
Kimetsu no Yaiba,1,1
Bleach,1,1
Tokyo Magnitude 8.0,1,1
Flying Witch,1,1
Pokemon,1,1
Tokyo Ghoul,1,1
Elfen Lied,1,1
Little Witch Academia (TV),1,1
Ansatsu Kyoushitsu,1,1
Hataraku Maou-sama!,1,1
Fairy Tail (2014),1,1
D-Frag!,1,1
Sayonara Zetsubou Sensei,1,1
One Punch Man,1,1
Sabage-bu!,1,1
GJ-bu,12,12
Magi: The Kingdom of Magic,25,25
Durarara!!,24,24
Shokugeki no Souma: San no Sara,12,12
K-On!,13,13
No Game No Life,12,12
Dragon Ball,153,153
